ID;Name;Longitude_WGS84;Latitude_WGS84;Street;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;geoData
381;«Белорусский вокзал», Ленинградский проспект (381);37.57900682;55.77879349;Ленинградский проспект;Северный административный округ;район Беговой;"А101; А27; А456; А84; А904; А904К; А905; АМ1; АН1";Белорусский вокзал;;да;ЗАО «Валль-СНГ»;активна;889085457;{type=Point, coordinates=[37.57900682, 55.77879349]}
383;«Пушкинская пл.», Пушкинская площадь (383);37.60654904;55.76538912;Пушкинская площадь;Центральный административный округ;Тверской район;"А15; АА";Пушкинская пл.;;да;ЗАО «Валль-СНГ»;активна;889085458;{type=Point, coordinates=[37.60654904, 55.76538912]}
384;«Метро Динамо (южный вход)», Ленинградский проспект (384);37.55939126;55.78891631;Ленинградский проспект;Северный административный округ;район Аэропорт;"А105; А110; Тб12; А22; А22к; А318; А456; Тб70; А818; Тб82; А84; АМ1; АН1; АТ29; АТ86";Метро Динамо (южный вход);;нет;;активна;889085459;{type=Point, coordinates=[37.55939126, 55.78891631]}
385;«Путевой дворец», Ленинградский проспект (385);37.55239291;55.79195895;Ленинградский проспект;Северный административный округ;район Аэропорт;"Тб12; А456; Тб70; Тб82; АМ1; АН1; АТ86";Путевой дворец;;нет;;активна;889085460;{type=Point, coordinates=[37.55239291, 55.79195895]}
386;«Ул. Серегина», Ленинградский проспект (386);37.54602831;55.79485212;Ленинградский проспект;Северный административный округ;район Аэропорт;"Тб12; А412; Тб43; А456; А456к; Тб6; Тб70; Тб82; А904; А904К; А905; АМ1; АН1; АТ86";Ул. Серегина;;да;ЗАО «Валль-СНГ»;активна;889085461;{type=Point, coordinates=[37.54602831, 55.79485212]}
387;«М А Д И - Финансовый университет», Ленинградский проспект (387);37.52994069;55.80150407;Ленинградский проспект;Северный административный округ;район Аэропорт;"Тб12; А412; Тб43; А456; А456к; Тб6; Тб70; Тб82; А904; А904К; А905; АМ1; АН1; АТ86";М А Д И - Финансовый университет;;да;ГУП «Мосгортранс»;активна;889085462;{type=Point, coordinates=[37.52994069, 55.80150407]}
388;«Гидропроект», Волоколамское шоссе (388);37.501916;55.80797638;Волоколамское шоссе;Северный административный округ;район Сокол;"А412; А456; А456к; Тб70; Тб82; А88; АМ1";Гидропроект;;да;ЗАО «Валль-СНГ»;активна;889085463;{type=Point, coordinates=[37.501916, 55.80797638]}
389;«Авиационный ин-т», Волоколамское шоссе (389);37.49750362;55.80877639;Волоколамское шоссе;Северный административный округ;район Сокол;"А412; А456; А456к; Тб70; Тб82; А88; АМ1";Авиационный ин-т;;да;ЗАО «Валль-СНГ»;активна;889085464;{type=Point, coordinates=[37.49750362, 55.80877639]}
390;«Пехотная ул.», Волоколамское шоссе (390);37.48249108;55.81162182;Волоколамское шоссе;Северо-Западный административный округ;район Щукино;"А412; А456; А456к; Тб70; Тб82; А88; А904; А904К; АМ1";Пехотная ул.;;да;ГУП «Мосгортранс»;активна;889085465;{type=Point, coordinates=[37.48249108, 55.81162182]}
391;«Покровское-Стрешнево», Волоколамское шоссе (391);37.47657318;55.81280014;Волоколамское шоссе;Северо-Западный административный округ;район Щукино;"А412; А456; А456к; Тб70; Тб82; А88; АМ1";Покровское-Стрешнево;;да;ГУП «Мосгортранс»;активна;889085466;{type=Point, coordinates=[37.47657318, 55.81280014]}
392;«Иваньковское ш.», Волоколамское шоссе (392);37.46692625;55.81623036;Волоколамское шоссе;Северо-Западный административный округ;район Покровское-Стрешнево;"Тб82; АМ1";Иваньковское ш.;;да;ГУП «Мосгортранс»;активна;889085467;{type=Point, coordinates=[37.46692625, 55.81623036]}
393;«Покровское-Глебово», Волоколамское шоссе (393);37.46984766;55.81533781;Волоколамское шоссе;Северо-Западный административный округ;район Покровское-Стрешнево;"А412; Тб82; АМ1";Покровское-Глебово;;да;ГУП «Мосгортранс»;активна;889085468;{type=Point, coordinates=[37.46984766, 55.81533781]}
394;«Б-ца МПС», Волоколамское шоссе (394);37.45985969;55.81785581;Волоколамское шоссе;Северо-Западный административный округ;район Покровское-Стрешнево;"Тб82; АМ1";Б-ца МПС;;нет;;активна;889085469;{type=Point, coordinates=[37.45985969, 55.81785581]}
395;«М-н Спортмастер», Дмитровское шоссе (395);37.57256424;55.82857132;Дмитровское шоссе;Северный административный округ;Тимирязевский район;"А466; А692; А82; АМ10; АТ47; АТ56; АТ78";М-н Спортмастер;;нет;;активна;889085470;{type=Point, coordinates=[37.57256424, 55.82857132]}
396;«Метро Тимирязевская», Дмитровское шоссе (396);37.57464072;55.81846492;Дмитровское шоссе;Северный административный округ;Тимирязевский район;"А319; А466; А574; А604; А87; АМ10; АТ47; АТ56; АТ78";Метро Тимирязевская;;да;ГУП «Мосгортранс»;активна;889085471;{type=Point, coordinates=[37.57464072, 55.81846492]}
397;«Бутырская ул., 46», Бутырская улица (397);37.58409234;55.79983587;Бутырская улица;Северо-Восточный административный округ;Бутырский район;"АТ29; АТ3; АТ47; АТ56; АТ78";Бутырская ул., 46;;да;ЗАО «Валль-СНГ»;активна;889085472;{type=Point, coordinates=[37.58409234, 55.79983587]}
398;«Метро Тимирязевская», Дмитровское шоссе (398);37.57519757;55.81854294;Дмитровское шоссе;Северный административный округ;Тимирязевский район;"А87; АМ10; АТ47; АТ56; АТ78";Метро Тимирязевская;;нет;;активна;889085473;{type=Point, coordinates=[37.57519757, 55.81854294]}
399;«К/т Рига», Ботаническая улица (399);37.58436933;55.84458929;Ботаническая улица;Северо-Восточный административный округ;район Марфино;"А24; А24К; Тб36; Тб73; А73Э; А76; А76к; А803; А85; АМ9";К/т Рига;;да;ГУП «Мосгортранс»;активна;889085474;{type=Point, coordinates=[37.58436933, 55.84458929]}
400;«Главный вход Ботанического сада», Ботаническая улица (400);37.58570115;55.84262896;Ботаническая улица;Северо-Восточный административный округ;район Марфино;"А24; А24К; Тб36; Тб73; А73Э; А76; А76к; А803; А85; АМ9";Главный вход Ботанического сада;;да;ГУП «Мосгортранс»;активна;889085475;{type=Point, coordinates=[37.58570115, 55.84262896]}
401;«Ботаническая ул., 33», Ботаническая улица (401);37.58858337;55.8402493;Ботаническая улица;Северо-Восточный административный округ;район Марфино;"А24; А24К; Тб36; Тб73; А73Э; А76; А76к; А803; А85; АМ9";Ботаническая ул., 33;;да;ГУП «Мосгортранс»;активна;889085476;{type=Point, coordinates=[37.58858337, 55.8402493]}
402;«Ул. Акад. Комарова», Ботаническая улица (402);37.60107644;55.82945279;Ботаническая улица;Северо-Восточный административный округ;район Марфино;"А24; А24К; Тб36; А379; Тб73; А73Э; А76; А803; А85; АМ9";Ул. Акад. Комарова;;да;ГУП «Мосгортранс»;активна;889085477;{type=Point, coordinates=[37.60107644, 55.82945279]}
403;«Ул. Кашенкин Луг», Ботаническая улица (403);37.60214656;55.82440347;Ботаническая улица;Северо-Восточный административный округ;район Марфино;"А24; А24К; А379; А76; А803; А85";Ул. Кашенкин Луг;;да;ГУП «Мосгортранс»;активна;889085478;{type=Point, coordinates=[37.60214656, 55.82440347]}
404;«Телецентр», улица Академика Королёва (404);37.60417904;55.8213684;улица Академика Королёва;Северо-Восточный административный округ;Останкинский район;"А24; А24К; А311; Тб36; А379; А561; Тб73; А73Э; А85; АМ9";Телецентр;;да;ЗАО «Валль-СНГ»;активна;889085479;{type=Point, coordinates=[37.60417904, 55.8213684]}
405;«Останкинский пруд», улица Академика Королёва (405);37.61249591;55.82135806;улица Академика Королёва;Северо-Восточный административный округ;Останкинский район;"А24; А24К; А311; Тб36; А379; А561; Тб73; А73Э; А85; АМ9";Останкинский пруд;;да;ЗАО «Валль-СНГ»;активна;889085480;{type=Point, coordinates=[37.61249591, 55.82135806]}
406;«Экскурсионный корпус телебашни», Новомосковская улица (406);37.61738366;55.81684894;Новомосковская улица;Северо-Восточный административный округ;Останкинский район;"А15; А24; А24К; А561; А85; АТ13";Экскурсионный корпус телебашни;;да;ГУП «Мосгортранс»;активна;889085481;{type=Point, coordinates=[37.61738366, 55.81684894]}
407;«2-я Новоостанкинская ул.», Новомосковская улица (407);37.61808166;55.81417973;Новомосковская улица;Северо-Восточный административный округ;Останкинский район;"А15; А24; А24К; А561; А85; АТ13";2-я Новоостанкинская ул.;;да;ГУП «Мосгортранс»;активна;889085482;{type=Point, coordinates=[37.61808166, 55.81417973]}
409;«Звездный бульв.», Звёздный бульвар (409);37.62836544;55.8131772;Звёздный бульвар;Северо-Восточный административный округ;Останкинский район;А85;Звездный бульв.;;нет;;активна;889085484;{type=Point, coordinates=[37.62836544, 55.8131772]}
410;«6-й Новоостанкинский пр.», 6-й Новоостанкинский проезд (410);37.63212149;55.81555838;6-й Новоостанкинский проезд;Северо-Восточный административный округ;Останкинский район;А85;6-й Новоостанкинский пр.;;да;ГУП «Мосгортранс»;активна;889085485;{type=Point, coordinates=[37.63212149, 55.81555838]}
411;«Ул. Цандера», улица Цандера (411);37.6306705;55.81782669;улица Цандера;Северо-Восточный административный округ;Останкинский район;А85;Ул. Цандера;;да;ГУП «Мосгортранс»;активна;889085486;{type=Point, coordinates=[37.6306705, 55.81782669]}
412;«Ул. Кондратюка», улица Кондратюка (412);37.6332174;55.81891731;улица Кондратюка;Северо-Восточный административный округ;Останкинский район;А85;Ул. Кондратюка;;да;ГУП «Мосгортранс»;активна;889085487;{type=Point, coordinates=[37.6332174, 55.81891731]}
413;«Гост. Останкино», Ботаническая улица (413);37.59479679;55.83355588;Ботаническая улица;Северо-Восточный административный округ;Останкинский район;"А24; А24К; Тб36; Тб73; А73Э; А803; А85; АМ9";Ул. Акад. Королева;;да;ГУП «Мосгортранс»;активна;889085488;{type=Point, coordinates=[37.59479679, 55.83355588]}
414;«Ул. Акад. Королева», Новомосковская улица (414);37.61655979;55.8208519;Новомосковская улица;Северо-Восточный административный округ;Останкинский район;"А15; А24; А24К; А561; А85; АТ13";Ул. Акад. Королева;;да;ГУП «Мосгортранс»;активна;889085489;{type=Point, coordinates=[37.61655979, 55.8208519]}
417;«Метро Алексеевская», проспект Мира (417);37.6369606;55.80911616;проспект Мира;Северо-Восточный административный округ;Останкинский район;"Тб14; А172; А33; А379; Тб41; Тб83; А85; А903; АМ9; АН6";Метро Алексеевская;;да;ГУП «Мосгортранс»;активна;889085490;{type=Point, coordinates=[37.6369606, 55.80911616]}
418;«Новоалексеевская ул.», проспект Мира (418);37.63619726;55.80497185;проспект Мира;Северо-Восточный административный округ;Останкинский район;"Тб14; А172; А33; А379; Тб41; Тб83; А85; АМ9; АН6";Новоалексеевская ул.;;да;ЗАО «Валль-СНГ»;активна;889085491;{type=Point, coordinates=[37.63619726, 55.80497185]}
421;«Новоалексеевская ул.», проспект Мира (421);37.63705024;55.80523391;проспект Мира;Северо-Восточный административный округ;Алексеевский район;"Тб14; А172; А33; А379; Тб41; Тб83; А85; АМ9; АН6";Новоалексеевская ул.;;да;ЗАО «Валль-СНГ»;активна;889085493;{type=Point, coordinates=[37.63705024, 55.80523391]}
422;«Метро Алексеевская», проспект Мира (422);37.63778119;55.80921754;проспект Мира;Северо-Восточный административный округ;Алексеевский район;"Тб14; А172; А33; А379; Тб41; А714к; Тб83; А85; АМ9; АН6";Метро Алексеевская;;да;ГУП «Мосгортранс»;активна;889085494;{type=Point, coordinates=[37.63778119, 55.80921754]}
423;«Староалексеевская ул.», проспект Мира (423);37.63791977;55.81102634;проспект Мира;Северо-Восточный административный округ;Алексеевский район;"Тб14; А172; А33; А379; Тб41; А714к; Тб83; А85; АМ9; АН6";Староалексеевская ул.;;да;ЗАО «Валль-СНГ»;активна;889085495;{type=Point, coordinates=[37.63791977, 55.81102634]}
428;«Ул. Цандера», улица Цандера (428);37.63044273;55.81805839;улица Цандера;Северо-Восточный административный округ;Останкинский район;А85;Ул. Цандера;;да;ГУП «Мосгортранс»;активна;889085496;{type=Point, coordinates=[37.63044273, 55.81805839]}
429;«Звездный бульв.», Звёздный бульвар (429);37.62537543;55.81365254;Звёздный бульвар;Северо-Восточный административный округ;Останкинский район;А85;2-я Новоостанкинская ул.;;да;ГУП «Мосгортранс»;активна;889085497;{type=Point, coordinates=[37.62537543, 55.81365254]}
